Parametry
Precyzja: 10^-3
Iteracje: 103
;real;bin;f(real)
73;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
74;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
75;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
76;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
77;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
78;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
79;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
80;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
81;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
82;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
83;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
84;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
85;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
86;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
87;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
88;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
89;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
90;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
91;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
92;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
93;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
94;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
95;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
96;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
97;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
98;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
99;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
100;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
101;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
102;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
